0.010	1.000	0.962	-0.112
0.020	1.000	0.962	-0.107
0.030	1.000	0.957	-0.112
0.040	1.000	0.957	-0.117
0.050	1.000	0.957	-0.112
0.060	1.000	0.957	-0.112
0.070	1.000	0.957	-0.112
0.080	1.000	0.957	-0.112
0.090	1.000	0.957	-0.112
0.100	1.000	0.962	-0.107
0.110	1.000	0.957	-0.112
0.120	1.000	0.962	-0.112
0.130	1.000	0.957	-0.112
0.140	1.000	0.962	-0.112
0.150	1.000	0.962	-0.107
0.160	1.000	0.957	-0.112
0.170	1.000	0.957	-0.112
0.180	1.000	0.957	-0.117
0.190	1.000	0.962	-0.112
0.200	1.000	0.962	-0.112
0.210	1.000	0.957	-0.112
0.220	1.000	0.962	-0.112
0.230	1.000	0.962	-0.107
0.240	1.000	0.962	-0.112
0.250	1.000	0.957	-0.112
0.260	1.000	0.962	-0.112
0.270	1.000	0.957	-0.117
0.280	1.000	0.962	-0.112
0.290	1.000	0.957	-0.112
0.300	1.000	0.962	-0.107
0.310	1.000	0.962	-0.103
0.320	1.000	0.957	-0.107
0.330	1.000	0.962	-0.112
0.340	1.000	0.962	-0.112
0.350	1.000	0.957	-0.112
0.360	1.000	0.957	-0.112
0.370	1.000	0.957	-0.112
0.380	1.000	0.962	-0.107
0.390	1.000	0.962	-0.107
0.400	1.000	0.962	-0.112
0.410	1.000	0.957	-0.117
0.420	1.000	0.957	-0.112
0.430	1.000	0.957	-0.107
0.440	1.000	0.957	-0.107
0.450	1.000	0.962	-0.112
0.460	1.000	0.962	-0.112
0.470	1.000	0.957	-0.112
0.480	1.000	0.957	-0.112
0.490	1.000	0.957	-0.112
0.500	1.000	0.957	-0.107
0.510	1.000	0.957	-0.112
0.520	1.000	0.957	-0.112
0.530	1.000	0.957	-0.112
0.540	1.000	0.962	-0.112
0.550	1.000	0.962	-0.112
0.560	1.000	0.957	-0.117
0.570	1.000	0.957	-0.112
0.580	1.000	0.957	-0.112
0.590	1.000	0.957	-0.112
0.600	1.000	0.962	-0.112
0.610	1.000	0.957	-0.112
0.620	1.000	0.957	-0.112
0.630	1.000	0.962	-0.112
0.640	1.000	0.957	-0.112
0.650	1.000	0.957	-0.112
0.660	1.000	0.957	-0.112
0.670	1.000	0.957	-0.112
0.680	1.000	0.957	-0.117
0.690	1.000	0.957	-0.112
0.700	1.000	0.957	-0.112
0.710	1.000	0.962	-0.107
0.720	1.000	0.962	-0.112
0.730	1.000	0.957	-0.112
