0.01,10.296,1.47
0.02,5.236,1.617
0.03,-0.652,1.788
0.04,-6.436,1.939
0.05,-11.204,2.037
0.06,-14.204,2.066
0.07,-14.96,2.032
0.08,-13.355,1.949
0.09,-9.642,1.827
0.1,-4.406,1.676
0.11,1.525,1.495
0.12,7.216,1.334
0.13,11.767,1.251
0.14,14.461,1.231
0.15,14.871,1.28
0.16,12.934,1.373
0.17,8.955,1.5
0.18,3.562,1.661
0.19,-2.394,1.827
0.2,-7.971,1.959
0.21,-12.29,2.032
0.22,-14.669,2.042
0.23,-14.732,1.983
0.24,-12.468,1.876
0.25,-8.237,1.744
0.26,-2.705,1.588
0.27,3.254,1.431
0.28,8.699,1.295
0.29,12.771,1.231
0.3,14.827,1.241
0.31,14.542,1.314
0.32,11.96,1.417
0.33,7.491,1.563
0.34,1.839,1.729
0.35,-4.103,1.876
0.36,-9.398,2.008
0.37,-13.209,2.071
0.38,-14.934,2.062
0.39,-14.302,1.998
0.4,-11.412,1.876
0.41,-6.72,1.739
0.42,-0.967,1.573
0.43,4.939,1.412
0.44,10.064,1.299
0.45,13.601,1.251
0.46,14.991,1.27
0.47,14.013,1.343
0.48,10.824,1.461
0.49,5.925,1.607
0.5,0.091,1.768
0.51,-5.757,1.92
0.52,-10.696,2.027
0.53,-13.947,2.057
0.54,-14.996,2.027
0.55,-13.677,1.935
0.56,-10.199,1.817
0.57,-5.111,1.656
0.58,0.784,1.49
0.59,6.556,1.339
0.6,11.292,1.246
0.61,14.246,1.207
0.62,14.95,1.236
0.63,13.294,1.329
0.64,9.54,1.456
0.65,4.279,1.602
0.66,-1.657,1.768
0.67,-7.332,1.925
0.68,-11.849,2.018
0.69,-14.496,2.037
0.7,-14.853,1.998
0.71,-12.866,1.895
0.72,-8.848,1.773
0.73,-3.432,1.622
0.74,2.525,1.461
0.75,8.083,1.324
0.76,12.366,1.231
0.77,14.696,1.221
0.78,14.706,1.285
0.79,12.394,1.378
0.8,8.126,1.505
0.81,2.574,1.666
0.82,-3.384,1.827
0.83,-8.807,1.949
0.84,-12.84,2.013
0.85,-14.846,2.008
0.86,-14.508,1.939
0.87,-11.88,1.832
0.88,-7.376,1.69
0.89,-1.707,1.524
0.9,4.231,1.373
0.91,9.501,1.246
0.92,13.271,1.172
0.93,14.946,1.182
0.94,14.261,1.255
0.95,11.325,1.368
0.96,6.601,1.505
0.97,0.834,1.69
0.98,-5.064,1.837
0.99,-10.162,1.939
1,-13.657,1.988
1.01,-14.995,1.954
1.02,-13.966,1.866
1.03,-10.732,1.749
1.04,-5.803,1.602
1.05,0.041,1.441
1.06,5.879,1.29
1.07,10.789,1.172
1.08,13.995,1.128
1.09,14.992,1.153
1.1,13.622,1.236
1.11,10.101,1.353
1.12,4.986,1.505
1.13,-0.917,1.671
1.14,-6.675,1.817
1.15,-11.379,1.91
1.16,-14.287,1.944
