1.650	-1.000	3.127	0.191
1.660	-1.000	3.117	0.200
1.670	-1.000	3.107	0.191
1.680	-1.000	3.092	0.171
1.690	-1.000	3.083	0.151
1.700	-1.000	3.078	0.151
1.710	-1.000	3.068	0.151
1.720	-1.000	3.063	0.142
1.730	-1.000	3.058	0.117
1.740	-1.000	3.053	0.098
1.750	-1.000	3.043	0.093
1.760	-1.000	3.034	0.117
1.770	-1.000	3.029	0.137
1.780	-1.000	3.024	0.151
1.790	-1.000	3.009	0.171
1.800	-1.000	3.004	0.156
1.810	-1.000	2.995	0.137
1.820	-1.000	2.990	0.127
1.830	-1.000	2.980	0.122
1.840	-1.000	2.980	0.137
1.850	-1.000	2.970	0.137
1.860	-1.000	2.965	0.117
1.870	-1.000	2.956	0.093
1.880	-1.000	2.946	0.098
1.890	-1.000	2.941	0.127
1.900	-1.000	2.926	0.181
1.910	-1.000	2.916	0.210
1.920	-1.000	2.912	0.200
1.930	-1.000	2.902	0.181
1.940	-1.000	2.897	0.151
1.950	-1.000	2.892	0.151
1.960	-1.000	2.877	0.151
1.970	-1.000	2.872	0.147
1.980	-1.000	2.858	0.132
1.990	-1.000	2.853	0.117
2.000	-1.000	2.853	0.147
2.010	-1.000	2.848	0.176
2.020	-1.000	2.833	0.200
2.030	-1.000	2.824	0.225
2.040	-1.000	2.809	0.210
2.050	-1.000	2.799	0.191
2.060	-1.000	2.789	0.171
2.070	-1.000	2.780	0.171
2.080	-1.000	2.775	0.171
2.090	-1.000	2.765	0.151
2.100	-1.000	2.755	0.132
2.110	-1.000	2.745	0.142
2.120	-1.000	2.741	0.191
2.130	-1.000	2.736	0.205
2.140	-1.000	2.721	0.205
2.150	-1.000	2.711	0.186
2.160	-1.000	2.702	0.176
2.170	-1.000	2.697	0.171
2.180	-1.000	2.687	0.171
2.190	-1.000	2.682	0.171
2.200	-1.000	2.672	0.156
2.210	-1.000	2.667	0.132
2.220	-1.000	2.658	0.137
2.230	-1.000	2.653	0.166
2.240	-1.000	2.643	0.191
2.250	-1.000	2.638	0.215
2.260	-1.000	2.623	0.215
2.270	-1.000	2.618	0.200
2.280	-1.000	2.604	0.191
2.290	-1.000	2.594	0.191
2.300	-1.000	2.579	0.181
2.310	-1.000	2.574	0.156
2.320	-1.000	2.570	0.132
2.330	-1.000	2.565	0.147
2.340	-1.000	2.550	0.210
2.350	-1.000	2.550	0.249
2.360	-1.000	2.540	0.259
2.370	-1.000	2.526	0.239
2.380	-1.000	2.516	0.215
2.390	-1.000	2.506	0.210
2.400	-1.000	2.491	0.200
2.410	-1.000	2.482	0.191
2.420	-1.000	2.477	0.186
2.430	-1.000	2.462	0.210
2.440	-1.000	2.452	0.239
2.450	-1.000	2.447	0.259
2.460	-1.000	2.433	0.239
2.470	-1.000	2.423	0.210
2.480	-1.000	2.413	0.186
2.490	-1.000	2.408	0.200
2.500	-1.000	2.394	0.195
2.510	-1.000	2.379	0.171
2.520	-1.000	2.369	0.147
2.530	-1.000	2.369	0.171
2.540	-1.000	2.355	0.195
2.550	-1.000	2.345	0.210
2.560	-1.000	2.340	0.195
2.570	-1.000	2.340	0.181
2.580	-1.000	2.330	0.161
2.590	-1.000	2.316	0.151
2.600	-1.000	2.306	0.151
2.610	-1.000	2.296	0.137
2.620	-1.000	2.286	0.117
2.630	-1.000	2.277	0.098
2.640	-1.000	2.267	0.088
2.650	-1.000	2.267	0.117
2.660	-1.000	2.257	0.142
2.670	-1.000	2.252	0.166
2.680	-1.000	2.247	0.166
2.690	-1.000	2.233	0.161
2.700	-1.000	2.218	0.127
2.710	-1.000	2.213	0.122
2.720	-1.000	2.208	0.117
2.730	-1.000	2.203	0.132
2.740	-1.000	2.198	0.132
2.750	-1.000	2.189	0.107
2.760	-1.000	2.184	0.078
2.770	-1.000	2.174	0.083
2.780	-1.000	2.164	0.122
2.790	-1.000	2.159	0.161
2.800	-1.000	2.154	0.186
2.810	-1.000	2.145	0.191
2.820	-1.000	2.130	0.166
2.830	-1.000	2.125	0.142
2.840	-1.000	2.120	0.122
2.850	-1.000	2.115	0.127
2.860	-1.000	2.101	0.122
2.870	-1.000	2.096	0.117
2.880	-1.000	2.091	0.103
2.890	-1.000	2.081	0.098
2.900	-1.000	2.071	0.112
2.910	-1.000	2.066	0.151
2.920	-1.000	2.062	0.191
2.930	-1.000	2.052	0.205
2.940	-1.000	2.047	0.191
2.950	-1.000	2.037	0.166
2.960	-1.000	2.032	0.156
2.970	-1.000	2.027	0.147
2.980	-1.000	2.013	0.151
2.990	-1.000	2.008	0.147
3.000	-1.000	1.998	0.122
3.010	-1.000	1.988	0.107
3.020	-1.000	1.988	0.122
3.030	-1.000	1.974	0.161
3.040	-1.000	1.964	0.181
3.050	-1.000	1.954	0.181
3.060	-1.000	1.949	0.166
3.070	-1.000	1.939	0.151
3.080	-1.000	1.935	0.137
3.090	-1.000	1.925	0.137
3.100	-1.000	1.920	0.137
3.110	-1.000	1.910	0.137
3.120	-1.000	1.905	0.117
3.130	-1.000	1.895	0.098
3.140	-1.000	1.886	0.107
3.150	-1.000	1.881	0.132
3.160	-1.000	1.871	0.156
3.170	-1.000	1.861	0.186
3.180	-1.000	1.856	0.195
3.190	-1.000	1.847	0.191
3.200	-1.000	1.842	0.171
3.210	-1.000	1.832	0.166
3.220	-1.000	1.822	0.161
3.230	-1.000	1.817	0.151
3.240	-1.000	1.808	0.132
3.250	-1.000	1.803	0.117
3.260	-1.000	1.793	0.132
