0.01,0,1.172,0.943
0.02,0,1.128,2.13
0.03,0,1.026,3.498
0.04,0,0.904,4.704
0.05,0,0.747,5.515
0.06,0,0.547,5.872
0.07,0,0.381,6.009
0.08,0,0.205,5.53
0.09,0,0.02,4.489
0.1,0,-0.093,3.786
0.11,0,-0.195,2.589
0.12,0,-0.269,1.304
0.13,0,-0.298,0.371
0.14,0,-0.303,-0.435
0.15,0,-0.278,-1.016
0.16,0,-0.249,-1.265
0.17,1,-0.215,-1.378
0.18,1,-0.147,-2.526
0.19,1,-0.073,-3.552
0.2,1,0.049,-4.67
0.21,1,0.23,-5.32
0.22,1,0.371,-5.838
0.23,1,0.547,-5.75
0.24,1,0.743,-5.589
0.25,1,0.87,-4.885
0.26,1,1.011,-3.708
0.27,1,1.128,-2.692
0.28,1,1.177,-1.705
0.29,1,1.216,-0.684
0.3,1,1.221,0.2
0.31,1,1.212,0.65
0.32,1,1.177,0.948
0.33,0,1.133,1.124
0.34,0,1.099,2.003
0.35,0,1.011,3.361
0.36,0,0.865,4.538
0.37,0,0.699,5.413
0.38,0,0.508,5.989
0.39,0,0.327,5.691
0.4,0,0.191,5.349
0.41,0,0.034,4.582
0.42,0,-0.117,3.4
0.43,0,-0.205,2.252
0.44,0,-0.264,1.324
0.45,0,-0.288,0.308
0.46,0,-0.293,-0.552
0.47,0,-0.274,-0.957
0.48,1,-0.239,-1.216
0.49,1,-0.186,-2.54
0.5,1,-0.088,-3.757
0.51,1,0.024,-4.519
0.52,1,0.161,-5.085
0.53,1,0.352,-5.999
0.54,1,0.508,-6.121
0.55,1,0.684,-5.725
0.56,1,0.87,-4.983
0.57,1,1.016,-3.854
0.58,1,1.124,-2.97
0.59,1,1.192,-1.724
0.6,1,1.226,-0.865
0.61,1,1.236,0.068
0.62,1,1.216,0.703
0.63,1,1.187,1.011
0.64,0,1.153,1.168
0.65,0,1.089,2.447
0.66,0,1.011,3.596
0.67,0,0.874,4.626
0.68,0,0.684,5.598
0.69,0,0.528,5.94
0.7,0,0.342,5.857
0.71,0,0.151,5.247
0.72,0,0.029,4.45
0.73,0,-0.112,3.571
0.74,0,-0.215,2.149
0.75,0,-0.269,1.304
0.76,0,-0.298,0.239
0.77,0,-0.298,-0.606
0.78,0,-0.274,-1.001
0.79,0,-0.244,-1.27
0.8,1,-0.2,-1.407
0.81,1,-0.147,-2.379
0.82,1,-0.078,-3.4
0.83,1,0.044,-4.553
0.84,1,0.22,-5.3
0.85,1,0.352,-5.872
0.86,1,0.532,-5.867
0.87,1,0.738,-5.594
0.88,1,0.865,-4.871
0.89,1,1.011,-3.757
0.9,1,1.119,-2.76
0.91,1,1.177,-1.768
0.92,1,1.212,-0.762
0.93,1,1.221,0.161
0.94,1,1.212,0.63
0.95,1,1.177,0.928
0.96,0,1.138,1.114
0.97,0,1.099,1.974
0.98,0,1.016,3.346
0.99,0,0.865,4.529
1,0,0.728,5.359
1.01,0,0.552,5.755
1.02,0,0.332,5.769
1.03,0,0.191,5.393
1.04,0,0.029,4.577
1.05,0,-0.122,3.454
1.06,0,-0.2,2.496
1.07,0,-0.269,1.363
1.08,0,-0.298,0.147
1.09,0,-0.298,-0.484
1.1,0,-0.278,-0.977
1.11,1,-0.239,-1.29
1.12,1,-0.191,-2.404
1.13,1,-0.103,-3.639
1.14,1,0.01,-4.377
1.15,1,0.142,-5.198
1.16,1,0.327,-5.882
1.17,1,0.489,-6.004
1.18,1,0.66,-5.809
1.19,1,0.855,-4.895
1.2,1,0.972,-4.304
1.21,1,1.089,-3.087
1.22,1,1.177,-1.881
1.23,1,1.216,-1.036
1.24,1,1.236,-0.083
1.25,1,1.221,0.606
1.26,1,1.192,0.957
1.27,0,1.163,1.138
1.28,0,1.094,2.399
1.29,0,1.016,3.473
1.3,0,0.879,4.67
1.31,0,0.723,5.432
1.32,0,0.542,5.877
1.33,0,0.352,6.058
1.34,0,0.151,5.369
1.35,0,0.024,4.533
1.36,0,-0.117,3.591
1.37,0,-0.22,2.189
1.38,0,-0.274,1.314
1.39,0,-0.303,0.2
1.4,0,-0.303,-0.611
1.41,0,-0.278,-1.016
1.42,0,-0.249,-1.295
1.43,1,-0.2,-1.431
1.44,1,-0.156,-2.267
1.45,1,-0.078,-3.42
1.46,1,0.073,-4.646
1.47,1,0.195,-5.261
1.48,1,0.352,-5.867
1.49,1,0.576,-5.867
1.5,1,0.708,-5.554
1.51,1,0.87,-4.866
1.52,1,1.026,-3.732
1.53,1,1.114,-2.877
1.54,1,1.177,-1.705
1.55,1,1.216,-0.596
1.56,1,1.226,0.078
1.57,1,1.216,0.635
1.58,0,1.177,0.987
1.59,0,1.128,2.262
1.6,0,1.036,3.532
1.61,0,0.923,4.553
1.62,0,0.772,5.447
1.63,0,0.567,5.789
1.64,0,0.401,5.906
1.65,0,0.225,5.623
1.66,0,0.034,4.783
1.67,0,-0.107,3.703
1.68,0,-0.191,2.77
1.69,0,-0.264,1.558
1.7,0,-0.303,0.293
1.71,0,-0.308,-0.391
1.72,0,-0.288,-0.933
1.73,0,-0.249,-1.304
1.74,1,-0.215,-1.392
1.75,1,-0.161,-2.433
1.76,1,-0.059,-3.82
1.77,1,0.049,-4.695
1.78,1,0.205,-5.335
1.79,1,0.391,-5.74
1.8,1,0.552,-5.794
1.81,1,0.718,-5.559
1.82,1,0.899,-4.768
1.83,1,1.016,-3.723
1.84,1,1.114,-2.819
1.85,1,1.182,-1.519
1.86,1,1.216,-0.708
1.87,1,1.221,0.117
1.88,1,1.207,0.728
1.89,1,1.177,0.948
1.9,0,1.143,1.119
1.91,0,1.08,2.516
1.92,0,0.992,3.639
1.93,0,0.865,4.558
1.94,0,0.674,5.613
1.95,0,0.523,5.916
1.96,0,0.337,5.799
1.97,0,0.142,5.252
1.98,0,0.02,4.397
1.99,0,-0.112,3.483
2,0,-0.215,2.101
2.01,0,-0.264,1.226
2.02,0,-0.293,0.215
2.03,0,-0.288,-0.611
2.04,0,-0.274,-1.001
2.05,0,-0.239,-1.241
2.06,1,-0.191,-1.383
2.07,1,-0.151,-2.115
2.08,1,-0.078,-3.356
2.09,1,0.073,-4.597
2.1,1,0.225,-5.252
2.11,1,0.352,-5.843
2.12,1,0.532,-5.843
2.13,1,0.733,-5.589
2.14,1,0.865,-4.851
2.15,1,1.001,-3.903
2.16,1,1.114,-2.76
2.17,1,1.182,-1.578
2.18,1,1.212,-0.777
2.19,1,1.221,0.073
2.2,1,1.207,0.684
2.21,0,1.182,0.918
2.22,0,1.133,2.164
2.23,0,1.026,3.561
2.24,0,0.909,4.7
2.25,0,0.752,5.545
2.26,0,0.552,5.877
2.27,0,0.386,6.014
2.28,0,0.205,5.554
2.29,0,0.024,4.524
2.3,0,-0.098,3.84
2.31,0,-0.195,2.614
2.32,0,-0.274,1.309
2.33,0,-0.303,0.376
2.34,0,-0.308,-0.435
2.35,0,-0.278,-1.021
2.36,0,-0.254,-1.285
2.37,1,-0.215,-1.392
2.38,1,-0.151,-2.56
2.39,1,-0.054,-3.874
2.4,1,0.054,-4.69
2.41,1,0.205,-5.33
2.42,1,0.401,-5.823
2.43,1,0.557,-5.774
2.44,1,0.723,-5.589
2.45,1,0.904,-4.763
2.46,1,1.036,-3.718
2.47,1,1.119,-2.824
2.48,1,1.182,-1.651
2.49,1,1.221,-0.528
2.5,1,1.221,0.132
2.51,1,1.212,0.674
2.52,1,1.172,1.016
2.53,0,1.138,1.148
2.54,0,1.089,2.218
2.55,0,0.977,3.825
2.56,0,0.865,4.524
2.57,0,0.703,5.349
2.58,0,0.493,5.94
2.59,0,0.337,5.838
2.6,0,0.166,5.164
2.61,0,-0.005,4.392
2.62,0,-0.137,3.156
2.63,0,-0.22,2.066
2.64,0,-0.269,1.236
2.65,0,-0.293,0.191
2.66,0,-0.293,-0.625
2.67,0,-0.274,-1.016
2.68,1,-0.239,-1.27
2.69,1,-0.176,-2.545
2.7,1,-0.107,-3.61
2.71,1,0.024,-4.475
2.72,1,0.191,-5.349
2.73,1,0.322,-5.755
2.74,1,0.503,-6.072
2.75,1,0.713,-5.623
2.76,1,0.845,-4.944
2.77,1,0.992,-4.138
2.78,1,1.119,-2.936
2.79,1,1.172,-1.935
2.8,1,1.221,-0.879
2.81,1,1.236,0.127
2.82,1,1.221,0.586
2.83,1,1.192,0.992
2.84,0,1.148,1.187
2.85,0,1.094,2.286
