0.010	-14.298	1.422
0.020	-13.112	1.212
0.030	-11.404	0.977
0.040	-9.241	0.767
0.050	-6.709	0.537
0.060	-3.910	0.313
0.070	-0.955	0.112
0.080	2.038	-0.068
0.090	4.950	-0.191
0.100	7.664	-0.269
0.110	10.073	-0.293
0.120	12.081	-0.244
0.130	13.606	-0.142
0.140	14.589	-0.005
0.150	14.991	0.142
0.160	14.795	0.322
0.170	14.009	0.513
0.180	12.665	0.723
0.190	10.816	0.933
0.200	8.535	1.168
0.210	5.914	1.392
0.220	3.058	1.617
0.230	0.079	1.817
0.240	-2.902	1.974
0.250	-5.768	2.086
0.260	-8.404	2.149
0.270	-10.705	2.154
0.280	-12.579	2.091
0.290	-13.952	1.993
0.300	-14.768	1.856
0.310	-14.996	1.685
0.320	-14.626	1.500
0.330	-13.672	1.304
0.340	-12.174	1.075
0.350	-10.190	0.850
0.360	-7.801	0.630
0.370	-5.100	0.401
0.380	-2.195	0.191
0.390	0.796	0.010
0.400	3.756	-0.151
0.410	6.566	-0.254
0.420	9.115	-0.298
0.430	11.300	-0.274
0.440	13.034	-0.195
0.450	14.249	-0.078
0.460	14.896	0.073
0.470	14.949	0.244
0.480	14.406	0.430
0.490	13.289	0.635
0.500	11.642	0.830
0.510	9.531	1.060
0.520	7.039	1.299
0.530	4.267	1.524
0.540	1.326	1.739
0.550	-1.669	1.910
0.560	-4.598	2.052
0.570	-7.342	2.125
0.580	-9.795	2.154
0.590	-11.856	2.125
0.600	-13.446	2.042
0.610	-14.499	1.915
0.620	-14.974	1.749
0.630	-14.852	1.583
0.640	-14.138	1.392
0.650	-12.860	1.177
0.660	-11.070	0.943
0.670	-8.838	0.728
0.680	-6.254	0.503
0.690	-3.421	0.278
0.700	-0.451	0.088
0.710	2.537	-0.093
0.720	5.423	-0.210
0.730	8.094	-0.274
0.740	10.441	-0.283
0.750	12.373	-0.225
0.760	13.811	-0.117
0.770	14.698	0.029
0.780	15.000	0.181
0.790	14.704	0.357
0.800	13.821	0.562
0.810	12.387	0.762
0.820	10.460	0.977
0.830	8.116	1.212
0.840	5.448	1.446
0.850	2.562	1.661
0.860	-0.425	1.851
0.870	-3.395	1.998
0.880	-6.230	2.101
0.890	-8.817	2.154
0.900	-11.052	2.145
0.910	-12.847	2.076
0.920	-14.129	1.969
0.930	-14.848	1.827
0.940	-14.975	1.656
0.950	-14.505	1.470
0.960	-13.457	1.270
0.970	-11.873	1.041
0.980	-9.815	0.811
0.990	-7.365	0.596
1.000	-4.622	0.362
1.010	-1.695	0.151
1.020	1.299	-0.034
1.030	4.242	-0.171
1.040	7.016	-0.264
1.050	9.510	-0.298
1.060	11.625	-0.269
1.070	13.277	-0.176
1.080	14.399	-0.054
1.090	14.947	0.107
1.100	14.899	0.278
1.110	14.258	0.464
1.120	13.047	0.664
1.130	11.317	0.865
1.140	9.136	1.109
1.150	6.590	1.339
1.160	3.782	1.558
1.170	0.822	1.759
1.180	-2.170	1.939
1.190	-5.075	2.066
1.200	-7.778	2.135
1.210	-10.171	2.154
1.220	-12.159	2.110
1.230	-13.662	2.018
1.240	-14.620	1.881
1.250	-14.995	1.734
1.260	-14.773	1.549
1.270	-13.961	1.348
1.280	-12.593	1.138
1.290	-10.723	0.904
1.300	-8.426	0.679
1.310	-5.792	0.454
1.320	-2.928	0.239
1.330	0.053	0.044
1.340	3.032	-0.117
1.350	5.890	-0.230
1.360	8.514	-0.288
1.370	10.797	-0.283
1.380	12.651	-0.215
1.390	14.000	-0.103
1.400	14.791	0.039
1.410	14.992	0.205
1.420	14.596	0.391
1.430	13.617	0.591
1.440	12.096	0.787
